state,intercept,beta_co2,beta_od550aer,beta_rsdt,r2,n_years,model_start_year,model_end_year,rolling_window,target
Alabama,-347.16228088814273,0.004427812772987297,-1.5209340575200005,0.9737104315712477,0.19468226830185453,65,1950,2014,5,tas_anomaly_smooth
Alaska,202.6755771945347,0.02896662852909954,-26.694527737474644,-0.9639797620352396,0.6231958687307428,65,1950,2014,5,tas_anomaly_smooth
Arizona,-58.88990777979445,0.01081647642529634,27.79509107002884,0.14992404376253604,0.5440582018651892,65,1950,2014,5,tas_anomaly_smooth
Arkansas,-491.2168970420325,0.0023497854367938126,-7.673272054545884,1.416580487573924,0.2748558028456122,65,1950,2014,5,tas_anomaly_smooth
California,189.46143475063414,0.014354462167619373,-36.316103780050696,-0.5651340794965978,0.33831018812187175,65,1950,2014,5,tas_anomaly_smooth
Connecticut,517.0754577452192,0.001061238011559796,-7.466055269456272,-1.6035614381656678,0.4557899511898913,65,1950,2014,5,tas_anomaly_smooth
Delaware,357.14742942060553,0.003784734820109961,-4.790003556937791,-1.076037991673301,0.43361998972842297,65,1950,2014,5,tas_anomaly_smooth
Florida,-54.83813334287092,0.00786989054959244,0.8189440896275065,0.14134735229632567,0.5511599013980435,65,1950,2014,5,tas_anomaly_smooth
Georgia,-19.743307144427348,0.005003177867196582,-1.1990722129924618,0.05153971429300182,0.24465870328591877,65,1950,2014,5,tas_anomaly_smooth
Hawaii,248.87576208882223,0.018845672640954346,-28.81876919593585,-0.6438981943363183,0.5864027538876577,65,1950,2014,5,tas_anomaly_smooth
Illinois,-303.17419201084147,0.0058077479186036994,-6.151321045600632,0.9215028217821052,0.42282640953726924,65,1950,2014,5,tas_anomaly_smooth
Indiana,-143.73497424715336,0.004958269392462424,-5.865525871218433,0.4380336113372283,0.44058397900407875,65,1950,2014,5,tas_anomaly_smooth
Kentucky,-129.57786279808047,0.0034899692149933208,-4.133447081601552,0.3836888317873652,0.30988016611517777,65,1950,2014,5,tas_anomaly_smooth
Louisiana,-650.9589275612984,0.0020096690265950516,-6.186828388150163,1.8036416116372533,0.19371604170023915,65,1950,2014,5,tas_anomaly_smooth
Maine,584.3551237637602,0.0017201540694269572,-14.447417492501,-1.9061980751079277,0.4372198467980243,65,1950,2014,5,tas_anomaly_smooth
Maryland,213.9433711032602,0.00337576443190038,-4.546188840028677,-0.6459057203377465,0.36470891276017425,65,1950,2014,5,tas_anomaly_smooth
Massachusetts,517.9151351983638,0.001120438945634601,-7.6783425790963165,-1.627914907353419,0.39658607889240516,65,1950,2014,5,tas_anomaly_smooth
Mississippi,-618.8524854710514,0.002917963502582536,-3.8627804278050792,1.7357449468089645,0.18038593565680416,65,1950,2014,5,tas_anomaly_smooth
Missouri,-423.0238879212555,0.005649671575275958,-10.14014956731449,1.2708726409349067,0.49409073973987583,65,1950,2014,5,tas_anomaly_smooth
New Hampshire,604.7141934328465,0.0014436063482799128,-8.776910871160016,-1.9286825220080126,0.3746979196898649,65,1950,2014,5,tas_anomaly_smooth
New Jersey,406.6217967840764,0.0029544811196445114,-5.5576634280978086,-1.2393226234593828,0.4704213637423622,65,1950,2014,5,tas_anomaly_smooth
New York,350.74170423788763,0.003075176012436562,-7.907200739458884,-1.111659445780346,0.43398875815487414,65,1950,2014,5,tas_anomaly_smooth
North Carolina,183.88425838449527,0.003884276529021989,-3.7312337993549742,-0.5350690375311823,0.3425072610250499,65,1950,2014,5,tas_anomaly_smooth
Oklahoma,-209.64917492845905,0.0066746533226108235,-14.579559872752087,0.6079984712071864,0.42539356125259364,65,1950,2014,5,tas_anomaly_smooth
Oregon,-83.90782800174125,0.027044231819592878,-59.77400467965691,0.25714822216668665,0.538070850369404,65,1950,2014,5,tas_anomaly_smooth
Pennsylvania,209.0341177928815,0.0034315856839459637,-5.812390248589649,-0.6450894309215474,0.3946343004881945,65,1950,2014,5,tas_anomaly_smooth
South Carolina,133.98981463335744,0.0038296236633015685,-2.175162897781344,-0.3831170102691529,0.22334716327257198,65,1950,2014,5,tas_anomaly_smooth
Tennessee,-138.91904765591656,0.0033790621526224125,-3.0538735321774855,0.40310948205470604,0.22981441256307367,65,1950,2014,5,tas_anomaly_smooth
Texas,-342.91866140129554,0.009767528924212112,-16.743443723674797,0.9519823637232785,0.37798417324067735,65,1950,2014,5,tas_anomaly_smooth
Vermont,601.6058002253088,0.002083914098886413,-8.911975044976783,-1.936736619652784,0.3827245361753332,65,1950,2014,5,tas_anomaly_smooth
Virginia,181.24208724286808,0.0033035600246596334,-4.345692108064164,-0.5382700701699733,0.3447633692064881,65,1950,2014,5,tas_anomaly_smooth
Washington,-70.844468236607,0.015996517909195297,-33.70788730291579,0.2331874230961427,0.41966831486144385,65,1950,2014,5,tas_anomaly_smooth
West Virginia,47.65740644055451,0.003234886090949113,-4.438662563611633,-0.14292935566506412,0.3292382768811265,65,1950,2014,5,tas_anomaly_smooth
